Title,Published,Authors,Abstract,Link
Climate Modeling and Bifurcation,2019-07-15T15:45:48Z,Mayer Humi,"Many papers and monographs were written about the modeling the Earth climate
and its variability. However there is still an obvious need for a module that
presents the fundamentals of climate modeling to students at the undergraduate
level. The present educational paper attempts to fill in this gap. To this end
we collect in this paper the relevant climate data and present a simple zero
and one dimensional models for the mean temperature of the Earth. These models
can exhibit bifurcations from the present Earth climate to an ice age or a
""Venus type of climate"". The models are accompanied by Matlab programs which
enable the user to change the models parameters and explore the impact that
these changes might have on their predictions on Earth climate.",http://arxiv.org/abs/1907.11067v2
The Physics of Climate Variability and Climate Change,2019-10-01T12:43:54Z,"Michael Ghil, Valerio Lucarini","The climate system is a forced, dissipative, nonlinear, complex and
heterogeneous system that is out of thermodynamic equilibrium. The system
exhibits natural variability on many scales of motion, in time as well as
space, and it is subject to various external forcings, natural as well as
anthropogenic. This paper reviews the observational evidence on climate
phenomena and the governing equations of planetary-scale flow, as well as
presenting the key concept of a hierarchy of models as used in the climate
sciences. Recent advances in the application of dynamical systems theory, on
the one hand, and of nonequilibrium statistical physics, on the other, are
brought together for the first time and shown to complement each other in
helping understand and predict the system's behavior. These complementary
points of view permit a self-consistent handling of subgrid-scale phenomena as
stochastic processes, as well as a unified handling of natural climate
variability and forced climate change, along with a treatment of the crucial
issues of climate sensitivity, response, and predictability.",http://arxiv.org/abs/1910.00583v2
"Learning Twitter User Sentiments on Climate Change with Limited Labeled
  Data",2019-04-15T21:51:21Z,"Allison Koenecke, Jordi Feliu-Fabà","While it is well-documented that climate change accepters and deniers have
become increasingly polarized in the United States over time, there has been no
large-scale examination of whether these individuals are prone to changing
their opinions as a result of natural external occurrences. On the
sub-population of Twitter users, we examine whether climate change sentiment
changes in response to five separate natural disasters occurring in the U.S. in
2018. We begin by showing that relevant tweets can be classified with over 75%
accuracy as either accepting or denying climate change when using our
methodology to compensate for limited labeled data; results are robust across
several machine learning models and yield geographic-level results in line with
prior research. We then apply RNNs to conduct a cohort-level analysis showing
that the 2018 hurricanes yielded a statistically significant increase in
average tweet sentiment affirming climate change. However, this effect does not
hold for the 2018 blizzard and wildfires studied, implying that Twitter users'
opinions on climate change are fairly ingrained on this subset of natural
disasters.",http://arxiv.org/abs/1904.07342v1
"Weathering Adaptation: Grid Infrastructure Planning in a Changing
  Climate",2019-12-05T23:31:17Z,"Anna M. Brockway, Laurel N. Dunn","Decisions related to electric power systems planning and operations rely on
assumptions and insights informed by historic weather data and records of past
performance. Evolving climate trends are, however, changing the energy use
patterns and operating conditions of grid assets, thus altering the nature and
severity of risks the system faces. Because grid assets remain in operation for
decades, planning for evolving risks will require incorporating climate
projections into grid infrastructure planning processes. The current work
traces a pathway for climate-aware decision-making in the electricity sector.
We evaluate the suitability of using existing climate models and data for
electricity planning and discuss their limitations. We review the interactions
between grid infrastructure and climate by synthesizing what is known about how
changing environmental operating conditions would impact infrastructure
utilization, constraints, and performance. We contextualize our findings by
presenting a case study of California, examining if and where climate data can
be integrated into infrastructure planning processes. The core contribution of
the work is a series of nine recommendations detailing advancements in climate
projections, grid modeling architecture, and disaster preparedness that would
be needed to ensure that infrastructure planning decisions are robust to
uncertainty and risks associated with evolving climate conditions.",http://arxiv.org/abs/1912.02920v1
"Beyond Forcing Scenarios: Predicting Climate Change through Response
  Operators in a Coupled General Circulation Model",2019-12-09T12:28:30Z,"Valerio Lembo, Valerio Lucarini, Francesco Ragone","Global Climate Models are key tools for predicting the future response of the
climate system to a variety of natural and anthropogenic forcings. Here we show
how to use statistical mechanics to construct operators able to flexibly
predict climate change for a variety of climatic variables of interest. We
perform our study on a fully coupled model - MPI-ESM v.1.2 - and for the first
time we prove the effectiveness of response theory in predicting future climate
response to CO$_2$ increase on a vast range of temporal scales, from
inter-annual to centennial, and for very diverse climatic quantities. We
investigate within a unified perspective the transient climate response and the
equilibrium climate sensitivity and assess the role of fast and slow processes.
The prediction of the ocean heat uptake highlights the very slow relaxation to
a newly established steady state. The change in the Atlantic Meridional
Overturning Circulation (AMOC) and of the Antarctic Circumpolar Current (ACC)
is accurately predicted. The AMOC strength is initially reduced and then
undergoes a slow and only partial recovery. The ACC strength initially
increases as a result of changes in the wind stress, then undergoes a slowdown,
followed by a recovery leading to a overshoot with respect to the initial
value. Finally, we are able to predict accurately the temperature change in the
Northern Atlantic.",http://arxiv.org/abs/1912.03996v2
"Visualizing the Consequences of Climate Change Using Cycle-Consistent
  Adversarial Networks",2019-05-02T15:34:53Z,"Victor Schmidt, Alexandra Luccioni, S. Karthik Mukkavilli, Narmada Balasooriya, Kris Sankaran, Jennifer Chayes, Yoshua Bengio","We present a project that aims to generate images that depict accurate,
vivid, and personalized outcomes of climate change using Cycle-Consistent
Adversarial Networks (CycleGANs). By training our CycleGAN model on street-view
images of houses before and after extreme weather events (e.g. floods, forest
fires, etc.), we learn a mapping that can then be applied to images of
locations that have not yet experienced these events. This visual
transformation is paired with climate model predictions to assess likelihood
and type of climate-related events in the long term (50 years) in order to
bring the future closer in the viewers mind. The eventual goal of our project
is to enable individuals to make more informed choices about their climate
future by creating a more visceral understanding of the effects of climate
change, while maintaining scientific credibility by drawing on climate model
projections.",http://arxiv.org/abs/1905.03709v1
"Learning Radiative Transfer Models for Climate Change Applications in
  Imaging Spectroscopy",2019-06-08T15:39:32Z,"Shubhankar Deshpande, Brian D. Bue, David R. Thompson, Vijay Natraj, Mario Parente","According to a recent investigation, an estimated 33-50% of the world's coral
reefs have undergone degradation, believed to be as a result of climate change.
A strong driver of climate change and the subsequent environmental impact are
greenhouse gases such as methane. However, the exact relation climate change
has to the environmental condition cannot be easily established. Remote sensing
methods are increasingly being used to quantify and draw connections between
rapidly changing climatic conditions and environmental impact. A crucial part
of this analysis is processing spectroscopy data using radiative transfer
models (RTMs) which is a computationally expensive process and limits their use
with high volume imaging spectrometers. This work presents an algorithm that
can efficiently emulate RTMs using neural networks leading to a multifold
speedup in processing time, and yielding multiple downstream benefits.",http://arxiv.org/abs/1906.03479v1
"Domino Effects in the Earth System -- The potential role of wanted
  tipping points",2019-11-12T16:25:23Z,"Marc Wiedermann, Ricarda Winkelmann, Jonathan F. Donges, Christina Eder, Jobst Heitzig, Alexia Katsanidou, E. Keith Smith","Vital parts of the climate system, such as the West Antarctic Ice Sheet, are
at risk even within the aspired aims of the Paris Agreement to limit global
temperature rise to 1.5 -- 2{\deg}C. These so-called natural tipping elements
are characterized by rapid qualitative shifts in their states once a critical
threshold, e.g., of global mean temperature, is transgressed. We argue that the
prevention of such unwanted tipping through effective climate policies may
critically depend on cascading Domino effects from (anticipated) climate
impacts to emission reductions via wanted social tipping in attitudes,
behaviors and policies. Specifically, the latter has recently been noted as a
key aspect in addressing contemporary global challenges, such as climate
change, via self-amplifying positive feedbacks similar to the processes
observable in climate tipping elements. Our discussion is supported with data
on commonly observed linkages between (subjective) climate change knowledge,
concern and consequential potential action and we argue that the presence of
such interrelations serves as a necessary condition for the possibility of
rapid climate action.",http://arxiv.org/abs/1911.10063v2
"The maximum likelihood climate change for global warming under the
  influence of greenhouse effect and Lévy noise",2019-09-06T15:44:40Z,"Yayun Zheng, Fang Yang, Jinqiao Duan, Xu Sun, Ling Fu, Jürgen Kurths","An abrupt climatic transition could be triggered by a single extreme event,
an $\alpha$-stable non-Gaussian L\'evy noise is regarded as a type of noise to
generate such extreme events. In contrast with the classic Gaussian noise, a
comprehensive approach of the most probable transition path for systems under
$\alpha$-stable L\'evy noise is still lacking. We develop here a probabilistic
framework, based on the nonlocal Fokker-Planck equation, to investigate the
maximum likelihood climate change for an energy balance system under the
influence of greenhouse effect and L\'evy fluctuations. We find that a period
of the cold climate state can be interrupted by a sharp shift to the warmer one
due to larger noise jumps, and the climate change for warming $1.5\rm ^oC$
under an enhanced greenhouse effect generates a step-like growth process. These
results provide important insights into the underlying mechanisms of abrupt
climate transitions triggered by a L\'evy process.",http://arxiv.org/abs/1909.08693v1
"Measuring Impact of Climate Change on Tree Species: analysis of JSDM on
  FIA data",2019-10-11T01:35:13Z,"Hyun Choi, Ali Sadeghian, Sergio Marconi, Ethan White, Daisy Zhe Wang","One of the first beings affected by changes in the climate are trees, one of
our most vital resources. In this study tree species interaction and the
response to climate in different ecological environments is observed by
applying a joint species distribution model to different ecological domains in
the United States. Joint species distribution models are useful to learn
inter-species relationships and species response to the environment. The
climates' impact on the tree species is measured through species abundance in
an area. We compare the model's performance across all ecological domains and
study the sensitivity of the climate variables. With the prediction of
abundances, tree species populations can be predicted in the future and measure
the impact of climate change on tree populations.",http://arxiv.org/abs/1910.04932v1
